customer_id,first_name,last_name,age,email,country,postal_code,gender,phone_number,membership_status,join_date,customer_type,customer_created_date
1,Louie,Danick,22,ldanick0@cargocollective.com,Vietnam,,Male,301-670-4557,true,1/2/2012,Business,8/3/2012
2,Veda,O' Sullivan,68,vosullivan1@japanpost.jp,Vietnam,,Female,599-615-4318,true,4/13/2021,Individual,4/25/2013
3,Lazaro,Gyrgorcewicx,76,lgyrgorcewicx2@narod.ru,Vietnam,,Male,516-851-8151,true,10/11/2012,Business,1/29/2017
4,Barney,Vala,81,bvala3@deviantart.com,Vietnam,,Male,420-750-3831,false,5/27/2019,Business,5/2/2015
5,Verne,Farrah,19,vfarrah4@hugedomains.com,Vietnam,,Male,574-916-3028,true,3/30/2011,Business,9/17/2013
6,Sully,Kliemchen,55,skliemchen5@yale.edu,United Kingdom,BD7,Male,516-915-0100,false,11/27/2020,Business,8/15/2020
7,Antonius,McIllroy,42,amcillroy6@shutterfly.com,Vietnam,,Male,405-289-5686,false,2/8/2021,Individual,9/10/2011
8,Samuel,Ough,78,sough7@ifeng.com,Vietnam,,Male,610-309-6393,true,4/29/2010,Business,3/19/2012
9,Tamarra,Quested,62,tquested8@army.mil,United Kingdom,S33,Female,403-348-0884,true,11/20/2015,Individual,6/26/2019
10,Janette,Jirieck,31,jjirieck9@disqus.com,United Kingdom,DN36,Female,282-304-1836,false,11/24/2015,Business,8/28/2010
11,Myra,Elcom,78,melcoma@umn.edu,Vietnam,,Female,605-828-9924,false,7/5/2018,Individual,5/9/2020
12,Anabella,Stairmond,33,astairmondb@biglobe.ne.jp,Vietnam,,Female,774-458-8938,false,5/24/2022,Business,12/2/2016
13,Ezri,Moquin,67,emoquinc@freewebs.com,Vietnam,,Male,197-833-3542,false,10/1/2014,Business,7/15/2013
14,George,Buckoke,58,gbuckoked@deliciousdays.com,Vietnam,,Female,120-137-1773,true,9/16/2015,Individual,7/18/2018
15,Dalia,Wegener,47,dwegenere@biglobe.ne.jp,United Kingdom,SG4,Female,998-637-2480,false,1/12/2022,Individual,6/20/2017
16,Debby,Cowans,56,dcowansf@blogs.com,Vietnam,,Female,101-176-7329,true,10/31/2017,Business,6/20/2012
17,Livy,Huckster,57,lhucksterg@irs.gov,Vietnam,,Female,348-581-2953,true,11/14/2013,Individual,1/20/2015
18,Darsey,Speariett,19,dspearietth@boston.com,Vietnam,,Female,903-767-4782,false,12/5/2019,Individual,1/13/2022
19,Lorenzo,Sympson,31,lsympsoni@examiner.com,United Kingdom,SY4,Agender,848-835-7970,true,3/28/2021,Business,6/16/2019
20,Cale,Fillary,80,cfillaryj@unblog.fr,United Kingdom,GL54,Male,342-722-5903,false,6/18/2017,Business,12/18/2011
21,Erl,Jessope,46,ejessopek@auda.org.au,Vietnam,,Male,999-377-5237,true,10/12/2012,Individual,10/5/2022
22,Harlen,Helsdon,85,hhelsdonl@merriam-webster.com,Vietnam,,Male,120-698-4939,false,6/26/2014,Business,3/10/2012
23,Jerri,Pettus,63,jpettusm@networkadvertising.org,Vietnam,,Genderqueer,650-687-5085,true,11/4/2016,Business,10/11/2017
24,Palmer,Mowles,31,pmowlesn@timesonline.co.uk,Vietnam,,Male,880-829-1864,false,8/13/2012,Business,8/12/2021
25,Lorna,Kesterton,38,lkestertono@barnesandnoble.com,Vietnam,,Female,863-638-4956,true,9/15/2015,Business,1/30/2016
26,Hailey,Bonham,33,hbonhamp@bloomberg.com,Vietnam,,Male,838-185-1018,true,3/9/2019,Business,11/19/2019
27,Kingsley,Pinnigar,47,kpinnigarq@uiuc.edu,Vietnam,,Male,572-260-1686,false,1/30/2012,Business,3/9/2018
28,Fitz,Fishburn,75,ffishburnr@cbsnews.com,Vietnam,,Male,472-226-0059,true,2/4/2010,Business,4/2/2011
29,Valeda,Akitt,55,vakitts@nih.gov,Vietnam,,Female,227-190-5837,false,10/3/2017,Business,10/18/2017
30,Selena,Franzelini,50,sfranzelinit@ted.com,Vietnam,,Female,306-919-5286,false,8/23/2017,Individual,3/3/2022
31,Zebadiah,McCafferky,18,zmccafferkyu@discovery.com,Vietnam,,Male,607-987-1217,true,1/22/2019,Business,8/26/2010
32,Kally,Gallen,66,kgallenv@comsenz.com,Vietnam,,Female,919-450-8750,true,6/19/2020,Business,7/3/2015
33,Marinna,Bateman,55,mbatemanw@sfgate.com,United Kingdom,CT15,Female,716-438-3529,false,8/31/2015,Business,10/15/2019
34,Gertrudis,Paske,36,gpaskex@engadget.com,Vietnam,,Female,438-993-3409,true,3/10/2016,Business,2/4/2016
35,Ives,Matokhnin,31,imatokhniny@seesaa.net,Vietnam,,Male,871-376-8930,true,2/27/2015,Individual,5/29/2019
36,Rees,Conkey,62,rconkeyz@bizjournals.com,Vietnam,,Male,748-203-3467,false,11/29/2020,Business,1/12/2020
37,Freeland,Josselson,52,fjosselson10@bbb.org,Vietnam,,Male,841-311-8177,true,3/24/2013,Business,11/13/2011
38,Rolf,Burchard,29,rburchard11@prnewswire.com,United Kingdom,LE15,Male,238-181-3204,true,7/24/2010,Individual,11/30/2017
39,Philippine,Golson,77,pgolson12@cocolog-nifty.com,Vietnam,,Female,899-392-2541,false,7/9/2020,Business,10/9/2021
40,Taffy,Schleswig-Holstein,70,tschleswigholstein13@t-online.de,United Kingdom,BT2,Female,322-936-1380,true,8/7/2016,Individual,9/14/2014
41,Allissa,Beckley,58,abeckley14@plala.or.jp,Vietnam,,Female,623-320-1842,true,10/22/2016,Individual,12/13/2017
42,Townie,Rickson,67,trickson15@intel.com,United Kingdom,SW1E,Male,119-302-4745,true,7/1/2017,Business,10/17/2020
43,Oren,Toy,40,otoy16@apache.org,Vietnam,,Bigender,416-621-4810,true,4/9/2018,Business,6/3/2015
44,Conant,Dole,55,cdole17@wp.com,United Kingdom,M34,Male,649-431-2479,false,10/17/2015,Business,10/17/2012
45,Christie,Henderson,49,chenderson18@histats.com,Vietnam,,Male,213-137-5108,false,6/11/2010,Individual,11/23/2012
46,Esmeralda,Tigwell,29,etigwell19@aol.com,Vietnam,,Female,819-263-6470,true,4/6/2017,Business,10/25/2022
