employee_id,first_name,last_name,gender,date_of_birth,job_title,department,salary,hire_date,email,processing_time
1,Hugues,Chatin,Male,1/13/1968,Desktop Support Technician,Finance,47378.95,1/7/2011,hchatin0@privacy.gov.au,9.49
2,Hilda,Ventham,Female,2/15/1968,Programmer III,HR,88184.42,1/2/2007,hventham1@utexas.edu,5.95
3,Davis,Coenraets,Male,3/19/1992,Research Associate,IT,99321.08,3/12/2001,dcoenraets2@va.gov,10.84
4,Gwyneth,Busby,Genderfluid,9/29/1995,Food Chemist,HR,40476.16,10/22/2007,gbusby3@diigo.com,17.49
5,Iain,Yeaman,Male,6/19/1990,Staff Accountant IV,Finance,104809.51,12/14/2011,iyeaman4@ed.gov,10.47
6,Marji,Labbett,Female,7/11/1981,Financial Advisor,Sales,76388.36,1/13/2000,mlabbett5@telegraph.co.uk,21.18
7,Adriana,Cooney,Female,4/28/1992,Accountant III,Sales,131231.38,2/5/2019,acooney6@t-online.de,9.93
8,Latia,Swinford,Non-binary,1/22/1970,Account Representative I,Finance,54088.11,6/29/2023,lswinford7@unesco.org,23.81
9,Buddie,Geill,Male,2/3/1961,Assistant Manager,IT,116572.73,2/20/2024,bgeill8@cmu.edu,2.41
10,Egon,Hurton,Male,3/15/1956,Administrative Officer,HR,126743.15,8/17/2024,ehurton9@tinyurl.com,15.96
11,Tisha,Brandham,Female,7/27/1958,Business Systems Development Analyst,Marketing,114746.06,4/9/2008,tbrandhama@cmu.edu,19.15
12,Natalie,Peegrem,Female,5/4/1977,VP Quality Control,Marketing,32478.23,6/20/2005,npeegremb@yahoo.co.jp,21.71
13,Eyde,Rappport,Female,6/15/1995,VP Accounting,IT,142482.69,1/17/2004,erappportc@miibeian.gov.cn,21.69
14,Joy,Late,Female,5/26/1977,Human Resources Manager,Sales,135663.25,4/10/2004,jlated@nbcnews.com,0.22
15,Robinett,Josilevich,Female,7/2/1993,VP Sales,Marketing,96917.32,2/14/2004,rjosileviche@drupal.org,6.32
16,Ivar,Duplock,Male,8/29/1983,Internal Auditor,Marketing,136476.71,10/12/2011,iduplockf@harvard.edu,17.39
17,Shae,Lakes,Male,12/5/1987,Senior Cost Accountant,Marketing,144973.87,5/17/2003,slakesg@cisco.com,2.18
18,Alfredo,Scardafield,Male,7/2/1964,Geological Engineer,Marketing,77759.07,9/14/2015,ascardafieldh@elegantthemes.com,4.27
19,Arabele,O Sullivan,Female,2/12/1980,Accountant II,Marketing,88766.6,8/18/2022,aosullivani@scribd.com,17.59
20,Chris,Seebert,Male,12/22/1963,VP Product Management,Marketing,94743.25,10/22/2009,cseebertj@engadget.com,6.01
21,Lauri,Cranna,Female,4/12/1996,Environmental Specialist,Finance,147102.01,4/30/2011,lcrannak@trellian.com,20.27
22,Sonja,Rosiello,Female,7/19/1952,Programmer II,IT,110905.05,4/3/2014,srosiellol@google.com.hk,1.74
23,Benetta,Candlin,Female,12/2/1983,VP Quality Control,Finance,63205.63,10/2/2020,bcandlinm@arizona.edu,10.59
24,Darn,Alastair,Genderqueer,4/17/1965,Senior Financial Analyst,IT,73046.71,4/14/2024,dalastairn@comsenz.com,3.93
25,Koo,Shipton,Female,12/7/1991,Environmental Specialist,Finance,137090.87,2/22/2015,kshiptono@yolasite.com,17.99
26,Archaimbaud,Raffeorty,Agender,11/17/1994,Research Associate,Sales,66740.09,7/20/2018,araffeortyp@blogspot.com,18.19
27,Oliy,Broxton,Female,10/10/1984,Senior Developer,Finance,108748.61,7/26/2006,obroxtonq@marketwatch.com,16.35
28,Walther,Thomlinson,Male,7/5/1993,Compensation Analyst,IT,77843.6,2/13/2022,wthomlinsonr@tumblr.com,1.24
29,Esmaria,Gimert,Female,2/11/1968,Research Assistant III,Finance,38599.18,12/23/2023,egimerts@ebay.co.uk,10.41
30,Timmi,Follen,Female,7/5/1958,Associate Professor,Finance,60087.48,4/24/2002,tfollent@yellowbook.com,16.05
31,Ivette,Veal,Female,9/21/1980,Accounting Assistant IV,HR,78007.2,8/22/2025,ivealu@berkeley.edu,23.59
32,Tamas,Poppleston,Polygender,11/29/1991,Human Resources Assistant I,Sales,109735.23,7/12/2001,tpopplestonv@booking.com,22.48
33,Clarence,Schollar,Male,5/12/1983,Desktop Support Technician,Marketing,81892.54,1/23/2019,cschollarw@vistaprint.com,16.51
34,Nathanael,Charle,Male,7/11/1950,Assistant Media Planner,Marketing,67087.49,8/18/2002,ncharlex@ehow.com,8.58
35,Dell,Mammatt,Agender,12/20/1974,Information Systems Manager,Finance,146110.06,10/2/2012,dmammatty@census.gov,20.7
36,Annamaria,Elliker,Female,5/18/1976,Accountant II,IT,61155.26,9/4/2008,aellikerz@geocities.com,17.11
37,Constantine,Margiotta,Female,11/27/1995,Speech Pathologist,Sales,110688.71,12/10/2022,cmargiotta10@technorati.com,2.39
38,Willi,Perche,Female,6/29/1966,Quality Engineer,Finance,91429.62,3/3/2002,wperche11@nydailynews.com,10.25
39,Shoshanna,Petruska,Female,4/27/1978,Professor,HR,102153.91,6/23/2001,spetruska12@howstuffworks.com,9.38
40,Rhonda,Attyeo,Female,3/28/1975,Business Systems Development Analyst,IT,40929.89,8/23/2024,rattyeo13@twitpic.com,23.89
41,Lesli,Craig,Female,10/19/1995,Paralegal,HR,66081.25,6/12/2013,lcraig14@addthis.com,22.69
42,Rudd,Matlock,Male,12/10/1968,Computer Systems Analyst II,Sales,88899.05,5/1/2020,rmatlock15@hibu.com,16.67
43,Dori,Aggio,Female,4/22/1987,Associate Professor,IT,88150.91,1/31/2022,daggio16@vk.com,6.5
44,Giffy,True,Male,8/17/1961,Software Engineer III,IT,42006.08,7/3/2003,gtrue17@angelfire.com,17.39
45,Merwin,Varley,Male,10/12/1980,Research Nurse,IT,40946.33,10/12/2007,mvarley18@telegraph.co.uk,17.84
46,Catha,Best,Female,9/27/1953,Senior Quality Engineer,IT,136413.81,6/5/2005,cbest19@wikipedia.org,16.92
47,Leda,Maes,Female,4/15/1970,Registered Nurse,Marketing,122916.91,10/5/2012,lmaes1a@wikimedia.org,3.28
48,Rochester,Duffan,Male,10/9/1967,Staff Scientist,Marketing,55171.96,4/1/2017,rduffan1b@biblegateway.com,21.63
49,Marney,Graddon,Genderqueer,8/2/1970,Structural Engineer,HR,100575.01,4/16/2008,mgraddon1c@hugedomains.com,6.9
50,Susie,Melloy,Female,11/20/1975,Marketing Assistant,IT,141668.27,8/17/2004,smelloy1d@weather.com,4.44
51,Laurie,Dafter,Female,1/9/1986,Marketing Assistant,Marketing,118222.48,4/1/2010,ldafter1e@google.nl,7.84
52,Conroy,Bakesef,Male,8/18/1974,Clinical Specialist,Marketing,95600.71,10/27/2017,cbakesef1f@homestead.com,1.18
53,Thain,Weatherhead,Male,9/4/1974,Graphic Designer,HR,40524.94,8/14/2009,tweatherhead1g@nifty.com,19.41
54,Caralie,Magenny,Female,1/17/1980,Environmental Tech,Sales,126971.42,10/8/2008,cmagenny1h@yale.edu,14.91
55,Amii,Rylstone,Female,12/29/1956,Senior Financial Analyst,HR,66345.94,1/14/2009,arylstone1i@berkeley.edu,18.39
56,Rutledge,Plett,Male,4/5/1953,Biostatistician IV,Sales,139618.18,1/22/2024,rplett1j@dropbox.com,1.26
57,Nelly,Prevett,Agender,7/31/1957,Account Coordinator,HR,108995.34,10/21/2003,nprevett1k@ebay.com,3.42
58,Caz,Tschirschky,Non-binary,12/10/1961,Account Coordinator,HR,61408.46,1/18/2007,ctschirschky1l@purevolume.com,0.28
59,Alanson,Omond,Male,10/20/1996,Staff Accountant I,Marketing,133310.55,1/24/2025,aomond1m@bbc.co.uk,9.59
