asset_id,asset_name,assets_status_id,model,organization_id,construstion_level,value_original,start_date_used,warranty_month,working_status,is_software,employee_id,employee_id_manager,assets_type_id,assets_group_id,assets_class_id,assets_brand_id,production_year,production_country_id
1,Inessa Hamor,under maintenance,Ms,1,low,629543.13,12/29/2007,18,true,false,1,1,type1,group2,class2,brand3,2007,Mexico
2,Eziechiele Monni,inactive,Rev,2,high,575791.89,5/31/2004,27,false,true,2,2,type2,group3,class1,brand2,2020,China
3,Derby Hadingham,inactive,Dr,3,medium,573187.88,3/19/2010,7,false,true,3,3,type2,group2,class1,brand1,2020,Russia
4,Sylvan Cramb,active,Mr,4,high,939283.82,3/7/2001,25,true,true,4,4,type1,group3,class3,brand3,2017,Dominica
5,Timothee Brumfield,active,Honorable,5,low,603801.33,4/1/2020,22,true,false,5,5,type2,group1,class3,brand2,2003,Saudi Arabia
6,Adam Dugan,active,Mrs,6,low,288600.39,8/18/2016,6,true,false,6,6,type2,group1,class2,brand1,2021,China
7,Nonah Brundale,active,Honorable,7,high,714439.2,9/5/2016,15,true,true,7,7,type1,group2,class3,brand3,2004,Thailand
8,Mable Linturn,inactive,Honorable,8,medium,224723.55,9/26/2022,31,true,true,8,8,type1,group1,class1,brand2,2010,Finland
9,Caitrin Burr,inactive,Ms,9,high,881891.76,4/14/2008,7,false,true,9,9,type2,group3,class3,brand2,2021,Honduras
10,Lilias Plett,active,Mr,10,low,619785.41,1/23/2018,29,false,false,10,10,type1,group1,class2,brand1,2011,Indonesia
11,Baird Yewdale,active,Ms,11,high,699.02,10/28/2013,31,false,true,11,11,type2,group2,class1,brand1,2022,Albania
12,Carce Fenty,under maintenance,Rev,12,medium,249802.19,3/22/2021,10,true,true,12,12,type2,group1,class2,brand2,2018,Indonesia
13,Pail Pfeuffer,inactive,Mrs,13,low,289051.99,10/27/2007,25,true,false,13,13,type2,group2,class3,brand2,2018,United States
14,Lenka Hiner,active,Mrs,14,low,359126.71,3/30/2000,28,true,false,14,14,type2,group1,class3,brand1,2009,Czech Republic
15,Pen Chasle,active,Dr,15,low,770086.82,9/9/2013,11,true,false,15,15,type2,group2,class3,brand2,2006,China
16,Izzy Seathwright,inactive,Ms,16,low,373227.71,8/20/2020,31,true,true,16,16,type3,group2,class2,brand3,2004,France
17,Carce Gregg,inactive,Ms,17,medium,494581.85,11/1/2020,27,false,true,17,17,type2,group3,class2,brand2,2016,Mexico
18,Allegra Brugmann,inactive,Mrs,18,medium,369227.44,5/29/2009,30,false,false,18,18,type3,group1,class2,brand1,2015,Greece
19,Bianca Stammirs,inactive,Mrs,19,high,476273.36,12/20/2005,8,true,true,19,19,type2,group3,class3,brand2,2003,Indonesia
20,Dell Giacobbo,under maintenance,Honorable,20,low,407627.45,6/3/2004,15,false,true,20,20,type1,group2,class3,brand2,2021,United States
21,Ashby Gammell,inactive,Honorable,21,high,588758.98,7/11/2003,35,true,true,21,21,type1,group2,class1,brand1,2006,China
22,Natal Larmett,inactive,Dr,22,low,212405.43,11/27/2010,11,true,true,22,22,type3,group2,class2,brand2,2004,Sweden
23,Marylinda Sacher,active,Mr,23,high,369604.68,3/19/2005,22,false,false,23,23,type2,group2,class1,brand3,2005,Ireland
24,Herman Stoven,inactive,Mr,24,high,110140.25,8/23/2013,34,true,false,24,24,type2,group2,class2,brand2,2022,China
25,Tomaso Scrowston,active,Rev,25,low,829710.63,2/8/2016,31,true,false,25,25,type1,group1,class2,brand1,2010,Bulgaria
26,Bruno Drinkhill,under maintenance,Mr,26,high,263377.83,8/4/2008,15,false,false,26,26,type1,group3,class3,brand1,2010,China
27,Whitman Jest,active,Mrs,27,medium,857476.78,6/7/2002,36,false,true,27,27,type2,group1,class3,brand3,2018,Comoros
28,Alene Hanmore,active,Mrs,28,high,406484.29,12/19/2020,14,false,true,28,28,type1,group2,class1,brand1,2010,Bulgaria
29,Aubrette Shurey,under maintenance,Dr,29,medium,678562.63,1/26/2019,15,true,false,29,29,type1,group3,class2,brand2,2001,Canada
30,Erick Ratley,under maintenance,Dr,30,low,532480.62,8/24/2017,20,true,false,30,30,type2,group3,class3,brand2,2013,Armenia
31,Editha Went,active,Honorable,31,high,464991.28,6/29/2010,12,true,false,31,31,type3,group1,class3,brand1,2004,Argentina
32,Barbara-anne Bison,under maintenance,Mr,32,medium,909751.2,6/23/2013,35,true,true,32,32,type3,group3,class3,brand1,2010,Poland
33,Ellene Cutsforth,under maintenance,Mrs,33,low,891254.33,8/17/2004,27,false,true,33,33,type2,group1,class2,brand2,2000,France
34,Melodee Cust,active,Rev,34,high,142557.65,7/10/2012,28,false,false,34,34,type3,group1,class2,brand3,2019,China
35,Elvyn Leipoldt,under maintenance,Dr,35,high,147161.25,1/29/2003,30,false,true,35,35,type2,group1,class2,brand2,2006,China
36,Guinevere Gilder,under maintenance,Honorable,36,low,526976.48,5/25/2004,0,true,true,36,36,type2,group3,class2,brand2,2004,Russia
37,Marion Stanyforth,active,Ms,37,high,510315.06,1/4/2008,2,true,true,37,37,type3,group1,class1,brand1,2003,Brazil
38,Jaclin Lill,active,Dr,38,medium,917307.32,9/13/2018,7,true,true,38,38,type2,group1,class1,brand2,2008,Croatia
39,Babb Burlingham,inactive,Honorable,39,medium,657630.99,9/29/2003,29,false,false,39,39,type2,group1,class2,brand3,2022,Japan
40,Oberon Lissenden,inactive,Mr,40,high,897666.25,10/2/2017,9,true,true,40,40,type2,group1,class1,brand2,2018,Ukraine
41,Heida Snowden,active,Rev,41,high,633154.42,12/20/2011,20,true,true,41,41,type1,group1,class1,brand3,2015,Yemen
42,Dannel Heath,under maintenance,Mr,42,low,466030.81,1/17/2012,0,true,true,42,42,type3,group1,class1,brand1,2003,China
43,Ardyce Allbones,active,Dr,43,high,813402.84,2/28/2004,29,false,false,43,43,type1,group2,class1,brand2,2006,Indonesia
44,Britni Pyatt,active,Rev,44,high,553350.48,1/1/2019,8,true,false,44,44,type2,group1,class1,brand2,2021,Madagascar
45,Hoyt Megany,under maintenance,Ms,45,low,922550.37,4/9/2013,30,true,false,45,45,type3,group3,class1,brand2,2009,Peru
46,Toinette Petrak,active,Dr,46,medium,715875.19,7/11/2006,18,false,false,46,46,type1,group2,class3,brand2,2019,Russia
47,Renae Boocock,under maintenance,Mr,47,high,648178.43,5/27/2020,14,false,true,47,47,type3,group2,class1,brand3,2014,China
48,Orsa Greensmith,under maintenance,Rev,48,high,221488.3,9/20/2010,7,true,false,48,48,type1,group1,class2,brand1,2016,Kazakhstan
49,Enrica Lockie,inactive,Rev,49,low,485491.88,10/12/2009,17,false,true,49,49,type3,group3,class3,brand3,2008,Denmark
50,Enrica Hullot,inactive,Mrs,50,low,946182.83,2/17/2003,3,false,false,50,50,type2,group2,class1,brand1,2003,Afghanistan
51,Hendrika Rapley,active,Rev,51,medium,24760.29,9/2/2007,17,true,false,51,51,type3,group1,class1,brand1,2016,Canada
52,Corrie Kinleyside,inactive,Mrs,52,high,234526.18,3/21/2021,25,true,true,52,52,type1,group2,class3,brand2,2016,Portugal
