employee_id,employee_name,employee_code,dob,sex,identity_no,mobile_phone,work_email,work_date_start,employee_status_id,organization_id,contract_type_id,active,province_id,date_modified,date_company,work_permit_date,group_employee_id,passport_no,bank_account_no,personal_email,p_province_id,p_district_id,p_communes_id,birth_place,origin_place
1,Hanson Sineath,EMP003,2/15/1986,Male,325-46-7463,818-776-9196,hsineath0@constantcontact.com,2/14/2010,5,22,Part-time,false,8,9/27/2022,7/19/2018,9/22/2021,6,PASS002,6444591932,hsineath0@miibeian.gov.cn,6,4,3,Richmond,Canada
2,Alonzo Allibon,EMP001,7/28/1993,Male,866-96-0612,896-584-7234,aallibon1@paginegialle.it,5/9/2012,2,80,Part-time,false,39,6/29/2021,8/26/2013,6/5/2020,3,PASS002,1270469973,aallibon1@bigcartel.com,50,12,10,Runka,Nigeria
3,Ferdy Barefoot,EMP002,4/10/1990,Male,872-80-8929,183-553-4398,fbarefoot2@mac.com,9/5/2017,3,62,Part-time,true,12,1/9/2020,3/2/2020,9/23/2021,1,PASS002,6261244158,fbarefoot2@netlog.com,39,20,2,Kobylí,Czech Republic
4,Paloma Banaszkiewicz,EMP003,11/26/1981,Genderfluid,328-99-9199,470-789-6832,pbanaszkiewicz3@senate.gov,2/14/2015,5,72,Full-time,true,16,5/18/2021,9/8/2010,2/18/2022,7,PASS003,4424732104,pbanaszkiewicz3@zimbio.com,16,10,10,João Monlevade,Brazil
5,Waverly Mazonowicz,EMP001,11/14/1991,Male,415-33-2783,552-635-3058,wmazonowicz4@engadget.com,11/8/2013,1,17,Full-time,true,34,2/17/2020,4/24/2018,11/30/2020,2,PASS003,8859166964,wmazonowicz4@wikia.com,34,8,1,Jiaqu,China
6,Jenilee Feldbau,EMP001,7/19/1982,Female,838-46-7724,165-492-5379,jfeldbau5@desdev.cn,7/26/2020,3,67,Full-time,false,29,12/3/2020,10/30/2017,12/24/2021,3,PASS001,5498296987,jfeldbau5@yahoo.com,16,20,10,Dengnan,China
7,Timotheus Wilmore,EMP003,11/4/1999,Polygender,801-45-5632,258-759-6562,twilmore6@twitpic.com,9/8/2022,1,53,Part-time,true,36,5/22/2021,9/24/2020,5/29/2021,7,PASS001,3821899969,twilmore6@people.com.cn,8,14,10,Nancha,China
8,Meg Blakelock,EMP003,6/8/1962,Female,226-57-0305,232-222-2306,mblakelock7@timesonline.co.uk,2/23/2014,3,93,Part-time,true,41,2/28/2022,2/13/2013,6/9/2020,4,PASS002,3483024212,mblakelock7@wordpress.com,13,4,8,Beloha,Madagascar
9,Norman Ronchi,EMP003,7/16/1962,Male,607-20-9881,192-877-4753,nronchi8@fema.gov,11/20/2013,2,85,Full-time,false,38,12/23/2020,1/3/2018,1/28/2021,3,PASS003,3967178518,nronchi8@google.nl,10,7,9,Pemba,Mozambique
10,Lynelle Pachta,EMP003,12/14/1977,Polygender,591-27-2507,910-544-2249,lpachta9@census.gov,8/15/2016,5,51,Contractor,true,24,9/16/2020,8/5/2010,10/19/2020,4,PASS001,8518996274,lpachta9@google.pl,3,5,3,Nzérékoré,Guinea
11,Dido Wyeld,EMP003,5/29/1964,Female,123-96-0940,535-308-4138,dwyelda@cornell.edu,3/18/2013,4,98,Full-time,true,5,3/18/2022,12/23/2017,2/7/2022,1,PASS003,1931227768,dwyelda@parallels.com,48,1,9,Chemnitz,Germany
12,Janine Rewcassell,EMP002,5/30/1980,Female,887-77-1696,343-295-2469,jrewcassellb@apple.com,10/21/2021,1,56,Full-time,true,12,11/12/2020,4/5/2022,9/25/2020,8,PASS003,7872487204,jrewcassellb@skyrock.com,38,15,1,Mugala,China
13,Tamarah Ughetti,EMP003,6/3/1985,Female,282-40-5521,756-279-3294,tughettic@theguardian.com,7/28/2021,2,83,Contractor,false,44,3/8/2020,3/23/2019,11/18/2022,1,PASS003,9829756469,tughettic@engadget.com,37,15,10,Kostrzyn nad Odrą,Poland
14,Clovis Dovydenas,EMP001,8/1/1961,Female,279-42-7653,627-650-6065,cdovydenasd@usnews.com,9/18/2010,4,73,Full-time,true,8,3/23/2020,5/5/2022,12/17/2021,1,PASS003,5013701980,cdovydenasd@tamu.edu,20,6,4,Muff,Ireland
15,Humfrey Blencowe,EMP003,8/16/1968,Male,787-01-8162,193-983-3729,hblencowee@sohu.com,4/26/2015,5,85,Part-time,true,9,1/20/2020,5/24/2021,6/16/2022,1,PASS003,9581647148,hblencowee@chicagotribune.com,14,12,8,Trondheim,Norway
16,Ringo Jatczak,EMP001,6/6/1966,Male,839-06-5783,615-712-3121,rjatczakf@bigcartel.com,6/17/2022,3,67,Full-time,false,32,6/16/2021,1/29/2010,1/3/2022,9,PASS002,2132555117,rjatczakf@wordpress.org,44,3,4,Sokarame,Indonesia
17,Gianna Oleszkiewicz,EMP003,7/5/1988,Female,846-38-7745,933-875-4756,goleszkiewiczg@sourceforge.net,3/17/2011,3,62,Part-time,true,34,8/8/2020,8/26/2020,12/22/2020,2,PASS003,1387448578,goleszkiewiczg@feedburner.com,28,15,2,Songhu,China
18,Prince Kingswood,EMP002,8/25/1998,Male,850-96-6723,541-990-3939,pkingswoodh@liveinternet.ru,12/4/2013,4,59,Full-time,true,3,10/6/2022,5/12/2011,11/24/2021,9,PASS002,7683279179,pkingswoodh@utexas.edu,26,2,5,Chaeryŏng-ŭp,North Korea
19,Lenka Songer,EMP003,6/13/1967,Polygender,753-18-6820,206-464-1816,lsongeri@eepurl.com,4/4/2018,4,65,Part-time,true,16,5/19/2021,5/13/2014,10/19/2022,2,PASS003,5734302866,lsongeri@springer.com,3,15,2,Huanglin,China
20,Perry Fache,EMP002,12/29/1970,Female,608-13-5008,611-246-2553,pfachej@seesaa.net,8/14/2010,3,16,Contractor,true,39,1/19/2020,12/20/2015,6/14/2020,2,PASS002,5764335282,pfachej@1688.com,45,14,1,Taounate,Morocco
21,Sophi Gounet,EMP002,8/14/1971,Female,315-48-7801,606-409-1714,sgounetk@wiley.com,11/15/2022,5,99,Contractor,true,4,6/9/2022,3/3/2010,8/10/2020,2,PASS002,6189360715,sgounetk@trellian.com,21,3,9,Cruz Alta,Brazil
22,Jess Rumford,EMP001,11/13/1988,Male,575-28-2036,653-670-9707,jrumfordl@lycos.com,1/23/2013,4,68,Contractor,false,10,12/26/2022,1/14/2016,10/16/2021,1,PASS001,2456293154,jrumfordl@cloudflare.com,36,7,10,Balatero,Philippines
23,Maddie Shellum,EMP002,2/7/1961,Male,531-20-4168,574-987-9502,mshellumm@loc.gov,1/18/2012,4,11,Contractor,true,46,4/21/2021,9/19/2016,2/17/2021,10,PASS003,7594512354,mshellumm@ehow.com,28,15,10,Alangilanan,Philippines
24,Gus Christie,EMP002,4/6/1982,Female,593-56-1896,996-787-0240,gchristien@techcrunch.com,7/2/2010,2,14,Part-time,true,32,10/16/2022,12/20/2010,11/14/2021,9,PASS001,1438730045,gchristien@newsvine.com,15,7,7,Vlissingen,Netherlands
25,Claretta Milward,EMP003,3/18/1982,Female,239-59-1310,938-810-0162,cmilwardo@redcross.org,4/26/2015,1,50,Contractor,true,16,7/17/2020,3/20/2022,11/14/2020,10,PASS003,3405115743,cmilwardo@infoseek.co.jp,2,8,1,Alua,Philippines
26,Paolo Lippingwell,EMP002,9/23/1968,Male,354-44-9089,446-594-3953,plippingwellp@liveinternet.ru,3/17/2022,5,72,Full-time,true,36,5/14/2022,1/20/2022,1/15/2022,2,PASS002,8545981107,plippingwellp@businessweek.com,12,18,1,Amirdzhan,Azerbaijan
27,Ave McQuode,EMP001,2/7/1971,Male,693-22-0035,953-178-4042,amcquodeq@google.com.br,3/13/2020,4,70,Full-time,true,15,8/15/2022,7/24/2012,4/18/2021,10,PASS001,1083025102,amcquodeq@geocities.com,13,11,6,Wang Thonglang,Thailand
28,Selina Greiswood,EMP003,11/13/1966,Bigender,872-04-4612,799-102-2135,sgreiswoodr@opera.com,8/22/2015,1,12,Full-time,false,17,12/13/2021,7/24/2014,1/10/2022,4,PASS003,5432950639,sgreiswoodr@youtube.com,7,9,3,Chironkamba,Comoros
29,Jamey Mogridge,EMP003,5/23/1997,Male,777-97-8121,435-299-8991,jmogridges@diigo.com,7/15/2013,1,54,Part-time,false,4,9/24/2021,10/30/2011,10/4/2021,1,PASS003,9565724350,jmogridges@pagesperso-orange.fr,3,2,7,Ciparay,Indonesia
30,Harriott Astall,EMP002,3/29/1982,Female,516-77-8857,858-983-0936,hastallt@google.ru,1/30/2020,5,9,Full-time,true,15,4/27/2020,5/10/2019,9/18/2020,6,PASS001,6231901497,hastallt@redcross.org,41,16,9,Skaramangás,Greece
31,Lewie Colthard,EMP001,7/12/1965,Male,830-35-4806,864-361-2886,lcolthardu@lycos.com,1/21/2011,5,94,Contractor,false,39,4/17/2021,12/2/2018,4/24/2021,9,PASS002,4124895245,lcolthardu@disqus.com,15,18,6,Gucheng,China
32,Marthena McIan,EMP003,9/27/2000,Female,755-28-3882,818-500-7289,mmcianv@e-recht24.de,9/29/2012,5,11,Contractor,true,6,9/14/2020,1/14/2019,8/8/2021,5,PASS003,5744701009,mmcianv@java.com,32,2,5,Primošten,Croatia
33,Kelly Caisley,EMP002,12/30/1996,Male,245-59-5877,160-747-7459,kcaisleyw@epa.gov,7/27/2011,2,65,Contractor,false,6,8/3/2022,11/28/2016,10/11/2021,1,PASS001,3504303540,kcaisleyw@nba.com,3,18,5,Ernestinovo,Croatia
34,Sallee Risbie,EMP001,8/19/1981,Female,520-22-7077,157-934-9563,srisbiex@desdev.cn,7/22/2016,5,40,Full-time,false,38,8/9/2022,6/13/2019,7/25/2020,10,PASS003,6418284379,srisbiex@chronoengine.com,11,17,3,Puerto Boyacá,Colombia
35,Rita Rulf,EMP002,7/28/1972,Female,826-25-4511,956-919-7106,rrulfy@chicagotribune.com,7/9/2021,1,95,Part-time,true,23,7/7/2022,11/2/2017,1/17/2020,8,PASS003,3602136408,rrulfy@soundcloud.com,24,14,3,Bandeirantes,Brazil
36,Wilek Mingay,EMP003,3/25/1963,Male,217-37-1325,364-320-4731,wmingayz@squidoo.com,7/25/2013,4,95,Contractor,true,41,6/3/2020,7/3/2012,4/6/2021,8,PASS003,1450365490,wmingayz@dmoz.org,36,9,5,Thị Trấn Quảng Uyên,Vietnam
37,Leontine Lappine,EMP003,10/1/1961,Female,132-79-8991,200-185-5088,llappine10@vkontakte.ru,6/7/2022,1,7,Part-time,true,16,12/29/2022,6/3/2017,12/20/2022,1,PASS001,5316197094,llappine10@odnoklassniki.ru,32,6,1,Gyangqai,China
