purchase_date,purchase_price,quantity,total_price,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,product_category,employee_department,transaction_id,customer_id,product_id,employee_id
10/30/2009,49.82,115,6751.37,debit card,4 Kenwood Circle,Topola,,Serbia,,Clothing - Accessories,Product Management,1,725,95,66
8/16/2019,674.2,580,9559.81,debit card,81281 Oxford Plaza,Atakpamé,,Togo,,Food - Fresh Produce,Training,2,131,71,52
3/26/2011,466.12,856,3442.86,cash,1614 Oxford Lane,Poljčane,,Slovenia,2319,Baby,Sales,3,961,77,37
10/2/2008,923.99,867,8612.4,credit card,0 Magdeline Lane,Qeshm,,Iran,,Fitness,Human Resources,4,268,38,43
5/28/2019,563.38,115,2109.67,cash,98 Atwood Avenue,Gunungtua,,Indonesia,,Food - Prepared Foods,Business Development,5,613,61,1
9/18/2019,550.46,304,6462.78,PayPal,6777 Shopko Alley,Seke,,China,,Health,Legal,6,516,100,77
4/2/2000,130.72,933,3432.0,PayPal,01136 Jenna Court,Qal‘ah-ye Kūf,,Afghanistan,,Fitness,Marketing,7,59,47,72
7/12/2009,202.95,278,5352.1,debit card,87548 Debs Road,Timbuktu,,Mali,,Food - Bakery,Marketing,8,278,34,99
3/11/2023,265.76,439,7207.97,credit card,781 Oak Alley,Kang,,Botswana,,Home,Accounting,9,368,47,46
3/8/2012,485.09,923,3752.27,cash,477 Independence Street,Mazowe,,Zimbabwe,,Food - Frozen Foods,Training,10,452,45,34
9/5/2015,104.43,967,8756.56,debit card,0556 Sullivan Alley,Bulbul,,Syria,,Food - Prepared Foods,Legal,11,537,14,70
7/4/2002,964.29,431,3096.97,PayPal,33 Esch Parkway,Citeureup,,Indonesia,,Toys,Legal,12,671,62,100
3/27/2016,481.29,568,7401.55,cash,969 Summer Ridge Park,Atlanta,GA,United States,31165,Food - Salads,Product Management,13,135,41,96
12/30/2000,85.37,162,7631.71,debit card,8654 Armistice Street,Aban,,Russia,663740,Home,Sales,14,68,68,34
12/27/2020,250.84,828,3224.61,PayPal,741 Nobel Park,Baoxing,,China,,Clothing - Tops,Sales,15,75,50,38
4/28/2025,22.09,551,8321.33,credit card,69843 Johnson Junction,Ribeirão Pires,,Brazil,09400-000,Toys,Legal,16,447,29,35
10/21/2003,365.47,10,4683.69,credit card,8 Killdeer Crossing,Komsomolsk,,Ukraine,,Food - Condiments,Research and Development,17,731,27,99
7/18/2010,705.73,5,1524.97,cash,9 Vernon Place,Jianfeng,,China,,Home,Product Management,18,249,21,52
2/28/2011,935.48,382,1793.11,PayPal,2 Meadow Ridge Junction,Minggang,,China,,Food - Bakery,Sales,19,139,30,82
11/24/2013,45.76,247,5529.31,PayPal,90 Sherman Drive,Pochinki,,Russia,607910,Electronics,Human Resources,20,241,69,46
10/28/2023,723.77,187,5135.44,PayPal,51624 Donald Terrace,Canauay,,Philippines,4214,Clothing - Outerwear,Sales,21,114,90,80
2/19/2014,661.24,718,340.93,debit card,400 Troy Center,Gaoqiao,,China,,Home,Research and Development,22,823,86,78
8/16/2018,183.63,975,3738.92,credit card,14 Northwestern Parkway,Taozhuang,,China,,Home,Accounting,23,276,54,50
9/5/2021,103.35,315,9303.21,debit card,88 Shelley Lane,Stockholm,AB,Sweden,105 32,Food - Salads,Research and Development,24,516,11,82
12/17/2011,775.73,598,2885.51,PayPal,23 Havey Center,Banqiao,,China,,Food - Baking,Support,25,30,47,73
6/27/2008,322.15,363,2157.03,PayPal,784 Dapin Drive,Ta Phraya,,Thailand,27180,Health,Human Resources,26,505,97,51
5/28/2010,983.68,82,9989.36,cash,49655 Northwestern Trail,Pajeksan,,Indonesia,,Food - Condiments,Training,27,77,94,53
2/15/2001,729.49,954,2645.59,cash,3 5th Circle,Sawahan,,Indonesia,,Food - Frozen Foods,Product Management,28,498,25,33
8/1/2014,867.12,569,4721.98,credit card,327 Debs Park,Złotniki Kujawskie,,Poland,88-180,Home,Services,29,467,12,6
9/20/2007,981.73,212,1920.67,cash,1372 Gina Pass,Roseau,,Dominica,,Toys,Sales,30,132,22,90
12/21/2008,921.71,399,1551.85,cash,6 Wayridge Parkway,Pavshino,,Russia,416102,Food - Cereals,Legal,31,144,51,46
3/8/2016,802.77,215,2640.51,credit card,9979 Anniversary Road,Brumado,,Brazil,46100-000,Books,Research and Development,32,668,2,13
12/2/2019,315.86,693,3931.14,cash,57678 Carpenter Center,Chirpan,,Bulgaria,6200,Home,Research and Development,33,622,30,92
5/27/2014,473.78,6,4299.74,credit card,76 Springs Place,Sobral,,Brazil,62000-000,Toys,Training,34,734,32,42
6/3/2020,246.93,993,224.39,debit card,8346 Kipling Hill,Liangli,,China,,Garden,Support,35,434,60,95
11/15/2021,847.06,453,1689.38,PayPal,99701 Forest Avenue,Podbuzh,,Ukraine,,Clothing - Outerwear,Support,36,929,32,78
10/10/2009,677.41,356,4025.78,PayPal,5412 Bunting Crossing,South Bend,IN,United States,46620,Food - Meat,Business Development,37,725,53,69
11/23/2002,506.63,94,3968.01,cash,6659 Browning Center,Kilju,,North Korea,,Food - Snacks,Product Management,38,478,52,67
5/31/2005,403.67,863,9466.65,cash,5 Springview Alley,Xinhe,,China,,Fitness,Product Management,39,8,64,13
10/24/2016,203.8,980,921.57,cash,5002 Northridge Center,Johor Bahru,JHR,Malaysia,81310,Home Improvement,Engineering,40,181,12,53
12/27/2002,247.75,771,6854.87,cash,966 Ohio Parkway,Sinazongwe,,Zambia,,Smart Home,Business Development,41,382,69,37
4/25/2016,604.21,253,1857.42,credit card,8317 Dayton Drive,Darya Boyi,,China,,Food - Produce,Accounting,42,942,13,60
9/26/2001,810.7,62,925.38,cash,60 Thackeray Lane,Novo-Peredelkino,,Russia,143015,Outdoor,Services,43,831,90,100
11/10/2015,554.41,626,5739.4,PayPal,67828 Lakewood Gardens Plaza,Karangpeton,,Indonesia,,Health,Training,44,830,10,15
1/14/2001,671.37,664,1579.61,credit card,11835 Del Mar Plaza,Saint-Priest-en-Jarez,B9,France,42275 CEDEX,Food - Sauces,Research and Development,45,683,24,25
11/20/2009,353.26,725,6862.44,credit card,34 Veith Junction,Luyi,,China,,Food - Dairy,Engineering,46,136,50,98
8/24/2012,775.25,218,8038.67,PayPal,1 Sycamore Plaza,Malunda,,Indonesia,,Clothing - Coats,Product Management,47,86,54,77
3/11/2006,538.79,725,5077.25,PayPal,7 Oak Valley Lane,Espumoso,,Brazil,99400-000,Kitchen,Research and Development,48,467,52,87
9/7/2001,185.32,241,1409.61,PayPal,6153 Judy Plaza,Cimuncang,,Indonesia,,Food - Vegetables,Engineering,49,700,26,87
8/29/2022,37.07,536,8962.19,debit card,27 Hollow Ridge Drive,Palmira,,Colombia,763547,Home,Support,50,202,90,22
7/11/2009,685.89,444,9503.42,debit card,190 Magdeline Court,Świecie,,Poland,86-105,Food - Meat,Support,51,866,76,27
3/27/2000,588.22,544,281.0,debit card,32 Hudson Hill,Tonjongsari,,Indonesia,,Kitchen,Engineering,52,224,3,12
2/14/2007,756.81,12,4504.1,debit card,2 Oakridge Way,San José El Ídolo,,Guatemala,10030,Kitchen,Accounting,53,266,78,40
10/16/2000,453.44,525,6525.39,credit card,078 Emmet Alley,Pasirgaru,,Indonesia,,Food - Canned Goods,Training,54,669,28,31
5/15/2009,745.72,519,4131.74,credit card,202 Glacier Hill Terrace,Kagoshima-shi,,Japan,892-0873,Food - Canned Goods,Training,55,540,84,58
7/31/2017,608.62,773,2099.2,debit card,07 Vernon Street,Hohoe,,Ghana,,Food - Grains,Research and Development,56,407,67,65
5/15/2004,122.51,243,9082.08,PayPal,7592 High Crossing Crossing,Kurchaloy,,Russia,366319,Food - Condiments,Engineering,57,312,55,85
10/7/2003,473.89,793,860.51,debit card,5 Surrey Park,Sinegorskiy,,Russia,347014,Food - Condiments,Research and Development,58,742,41,82
7/25/2020,290.35,828,8588.39,credit card,4 Farmco Alley,Saumur,B5,France,49411 CEDEX,Crafts,Services,59,277,97,8
4/5/2000,131.72,109,8472.18,credit card,540 Carioca Alley,Tangpu,,China,,Food - Canned Goods,Research and Development,60,813,94,38
5/23/2000,198.65,80,2608.27,PayPal,1 Burning Wood Terrace,Funga,,Indonesia,,Outdoor,Engineering,61,506,54,54
5/9/2013,283.87,638,3241.36,PayPal,5 Huxley Drive,Maumbawa,,Indonesia,,Kitchen,Sales,62,519,58,87
11/1/2023,205.85,588,5039.42,debit card,287 Oxford Junction,Beiwa,,China,,Pets,Services,63,445,66,41
3/19/2001,223.2,921,535.07,debit card,81716 Fuller Terrace,Rostov,,Russia,152155,Food - Snacks,Services,64,106,2,26
11/27/2012,79.32,60,8317.96,PayPal,85504 Hoepker Trail,Ocoyo,,Peru,,Food - Sauces,Legal,65,121,78,54
9/29/2022,519.55,898,1788.48,debit card,4255 Moose Hill,Songculan,,Philippines,7120,Food - Snacks,Product Management,66,173,44,99
6/21/2023,549.63,268,5767.81,PayPal,693 Straubel Street,Amerta,,Indonesia,,Health,Research and Development,67,147,36,38
5/14/2001,777.09,209,7367.39,PayPal,83400 Monument Place,Huurch,,Mongolia,,Automotive,Sales,68,735,65,60
4/28/2014,457.65,424,1229.49,cash,714 Hanover Street,Srinagarindra,,Thailand,31150,Food - Condiments,Product Management,69,460,31,38
8/14/2017,109.68,968,659.13,credit card,605 Armistice Junction,San Cristóbal Totonicapán,,Guatemala,08002,Clothing - Footwear,Human Resources,70,285,58,74
5/26/2016,863.53,903,1122.38,credit card,002 School Center,Cijengkol,,Indonesia,,Photography,Human Resources,71,141,45,82
11/2/2013,401.18,458,6260.08,credit card,80 Oak Circle,Katrineholm,D,Sweden,641 96,Food - Breakfast,Research and Development,72,80,73,66
5/18/2022,256.05,376,8685.71,credit card,2 Monument Place,Picoto,10,Portugal,2425-497,Food - Frozen,Training,73,331,38,76
10/8/2011,989.13,87,369.64,cash,0283 Welch Pass,Luleå,BD,Sweden,972 42,Kitchen,Accounting,74,915,98,38
